siteName,SLFL,year,Tmean,Tq50,Tq75,Tq95,Tmax
Chinaman Reef,CH,2020,26.809625540147568,26.761103852430555,26.89867858767361,27.022094927951386,27.031371586805555
Curd Reef,FL,2018,29.102627473943986,29.222018451388887,29.705329965277777,30.058698243055556,30.383105375
Curd Reef,FL,2019,29.149633774101307,29.219518159722224,29.468223277777778,29.682466581944446,29.77408682638889
Curd Reef,SL,2018,28.977884451331498,29.003779875,29.637900895833333,29.875157472222224,29.972479333333332
Curd Reef,SL,2019,28.962745239379085,28.995159972222222,29.198075881944444,29.32506695972222,29.337524131944445
Davies Reef,CH,2015,28.40323429462436,28.503097347222223,28.925955371527778,29.26586628472222,29.349575395833334
Davies Reef,CH,2016,29.05168210695892,29.038228689756945,29.2231277015625,29.469101856770834,29.59213313940972
Davies Reef,FL,1998,28.522994695504366,28.385208333333335,28.833125,29.7275,29.931666666666665
Davies Reef,FL,1999,28.211917273185986,28.413333333333334,28.782291666666666,29.101875,29.24125
Davies Reef,FL,2000,27.782095286885244,27.8859375,28.10953125,28.543625,28.75
Davies Reef,FL,2001,27.888673928015333,27.994333333333334,28.461625,28.8814375,29.033875000000002
Davies Reef,FL,2002,28.52090361753414,28.645452083333332,29.091395833333333,29.958054166666667,30.03101914893617
Davies Reef,FL,2003,27.83737322454132,28.042197916666666,28.13969134963768,28.309505208333334,28.4400625
Davies Reef,FL,2004,28.339563345995007,28.516260416666668,28.997203125,29.738810416666666,30.054291666666668
Davies Reef,FL,2005,28.2252584486166,28.33149166666667,28.76583125,29.273102083333335,29.518954166666667
Davies Reef,FL,2006,28.349793677832483,28.412479166666667,28.864541666666668,29.232708333333335,29.4110625
Davies Reef,FL,2007,27.38919123931624,27.3655,27.425979166666668,27.4743625,27.486458333333335
Davies Reef,FL,2008,28.463118015710382,28.812103125,29.471196875,29.952333125,30.17496875
